도로종류,가해자차량용도대분류,가해자차량용도중분류,가해자차량용도,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,사업용,노선버스,마을버스,94,0,41,85,9
일반국도,사업용,노선버스,시내버스,417,6,174,402,42
일반국도,사업용,노선버스,시외버스,124,1,54,195,19
일반국도,사업용,노선버스,고속버스,19,0,4,40,1
일반국도,사업용,전세버스,전세버스,128,2,82,262,44
일반국도,사업용,택시,법인택시,400,8,138,461,26
일반국도,사업용,택시,개인택시,332,5,115,384,47
일반국도,사업용,화물차,화물차,1049,36,398,1300,97
일반국도,사업용,렌터카,렌터카,788,10,298,1066,95
일반국도,사업용,위험물운송,위험물운송,10,1,4,10,0
일반국도,사업용,콘크리트믹서,콘크리트믹서,3,0,2,1,0
일반국도,사업용,덤프트럭,덤프트럭,7,0,2,6,1
일반국도,사업용,기타/건설기계,기타/건설기계,410,10,173,500,31
일반국도,비사업용,승용차,승용차,11120,259,4155,13714,1081
일반국도,비사업용,버스,버스,152,7,60,217,23
일반국도,비사업용,어린이통학버스,어린이통학버스,30,0,8,59,14
일반국도,비사업용,화물차,화물차,2752,109,1183,3278,214
일반국도,비사업용,위험물운송,위험물운송,1,1,0,0,0
일반국도,비사업용,덤프트럭,덤프트럭,1,0,1,1,0
일반국도,비사업용,기타/건설기계,기타/건설기계,311,7,116,398,31
일반국도,이륜차,이륜차,이륜차,1285,61,481,954,208
일반국도,사륜오토바이(ATV),사륜오토바이(ATV),사륜오토바이(ATV),37,5,12,24,2
일반국도,원동기장치자전거,원동기장치자전거,원동기장치자전거,107,4,40,81,14
일반국도,자전거,자전거,자전거,264,5,79,146,53
일반국도,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),18,0,7,10,3
일반국도,농기계,농기계,농기계,50,3,26,39,5
일반국도,기타,기타,기타,18,0,2,15,2
일반국도,불명,불명,불명,239,1,38,189,50
지방도,사업용,노선버스,마을버스,74,2,23,86,14
지방도,사업용,노선버스,시내버스,278,3,110,238,14
지방도,사업용,노선버스,시외버스,46,1,18,84,6
지방도,사업용,노선버스,고속버스,10,0,4,21,1
지방도,사업용,전세버스,전세버스,92,2,36,155,27
지방도,사업용,택시,법인택시,472,5,128,588,49
지방도,사업용,택시,개인택시,289,4,93,339,27
지방도,사업용,화물차,화물차,549,26,228,631,41
지방도,사업용,렌터카,렌터카,1017,14,346,1286,175
지방도,사업용,위험물운송,위험물운송,1,0,0,1,0
지방도,사업용,콘크리트믹서,콘크리트믹서,2,0,1,1,0
지방도,사업용,덤프트럭,덤프트럭,1,0,0,1,0
지방도,사업용,기타/건설기계,기타/건설기계,205,6,68,224,11
지방도,비사업용,승용차,승용차,8913,186,3259,10299,887
지방도,비사업용,버스,버스,174,6,68,238,24
지방도,비사업용,어린이통학버스,어린이통학버스,38,0,15,34,4
지방도,비사업용,화물차,화물차,2456,118,1054,2592,201
지방도,비사업용,덤프트럭,덤프트럭,1,0,0,1,0
지방도,비사업용,기타/건설기계,기타/건설기계,214,10,106,250,21
